time,speed,step_frequency,heart_rate,steps_time_diff_seconds,heart_time_diff_seconds
2025-07-15 22:43:50.067320,2.94261968,143,139,0.409837,0.033193999999999946
2025-07-15 22:43:52.129583,2.299050236,143,138,0.465221,0.033630999999999966
2025-07-15 22:43:54.192136,2.757934284,143,138,0.520929,0.033784000000000036
2025-07-15 22:43:56.254798,2.39730904,143,142,0.576903,0.03306100000000001
2025-07-15 22:43:58.317615,2.480134524,143,140,0.630477,0.033166999999999947
2025-07-15 22:44:00.379940,1.811871768,143,142,0.683926,0.03334599999999999
2025-07-15 22:44:02.442521,2.3124257800000003,143,143,0.737325,0.033299999999999996
2025-07-15 22:44:04.505268,1.879263932,142,142,0.79109,0.032941
2025-07-15 22:44:06.567723,2.637554388,142,139,0.844141,0.03295800000000004
2025-07-15 22:44:08.630227,2.032568244,142,140,0.89823,0.03326899999999999
2025-07-15 22:44:10.692522,2.553700016,143,141,0.951553,0.033553000000000055
2025-07-15 22:44:12.755465,2.113335952,143,140,1.0008970000000001,0.032914
2025-07-15 22:44:14.818059,2.7178076520000003,143,144,0.946265,0.03386
2025-07-15 22:44:16.917395,2.135971488,143,147,0.855052,0.07436200000000004
2025-07-15 22:44:18.980566,2.289790244,142,145,0.799534,0.03342400000000001
2025-07-15 22:44:21.043347,2.056232668,142,145,0.7463500000000001,0.032968
2025-07-15 22:44:23.105419,2.539810028,142,145,0.6912579999999999,0.033638999999999974
2025-07-15 22:44:25.168279,1.907043908,142,144,0.6368039999999999,0.03334400000000004
2025-07-15 22:44:27.230638,2.596398868,142,143,0.5829679999999999,0.033858000000000055
2025-07-15 22:44:29.293444,2.298535792,141,143,0.52749,0.03291500000000003
2025-07-15 22:44:31.355592,2.4302334560000003,141,142,0.471665,0.033227000000000007
2025-07-15 22:44:33.418573,2.74455874,141,142,0.417508,0.03313200000000005
2025-07-15 22:44:35.480768,2.418915688,141,142,0.36341900000000005,0.03353399999999995
2025-07-15 22:44:37.543850,2.3921646,141,141,0.307072,0.03278800000000004
2025-07-15 22:44:39.605849,2.3252868799999997,141,139,0.251868,0.03360099999999999
2025-07-15 22:44:41.668793,1.483656496,141,140,0.197816,0.03311299999999995
2025-07-15 22:44:43.731389,1.142580124,141,139,0.14439500000000005,0.035506999999999955
2025-07-15 22:44:45.793906,0.773209332,142,139,0.09121100000000004,0.03295999999999999
2025-07-15 22:44:47.856707,0.328729716,143,138,0.034618999999999955,0.15060300000000004
2025-07-15 22:44:49.994112,0.082825484,138,132,0.093669,0.032855999999999996
2025-07-15 22:44:52.056522,0.0128611,133,108,0.147985,0.03303699999999998
2025-07-15 22:44:54.118898,0.025207756,128,104,0.202721,0.03349500000000005
2025-07-15 22:44:56.181810,0.0375544119999999,128,71,0.258943,0.032775
2025-07-15 22:44:58.244204,0.06687772,125,56,0.31475,0.03337199999999996
