time,heart_rate
2025-07-15 22:43:42.882028,137
2025-07-15 22:43:42.884590,137
2025-07-15 22:43:43.912814,138
2025-07-15 22:43:43.914763,138
2025-07-15 22:43:44.943855,140
2025-07-15 22:43:44.945653,140
2025-07-15 22:43:45.975639,136
2025-07-15 22:43:45.977706,136
2025-07-15 22:43:47.006872,138
2025-07-15 22:43:47.009431,138
2025-07-15 22:43:48.037667,138
2025-07-15 22:43:48.039638,138
2025-07-15 22:43:49.069127,138
2025-07-15 22:43:49.071404,138
2025-07-15 22:43:50.100514,139
2025-07-15 22:43:50.102710,139
2025-07-15 22:43:51.131606,139
2025-07-15 22:43:51.133522,139
2025-07-15 22:43:52.163214,138
2025-07-15 22:43:52.165513,138
2025-07-15 22:43:53.194371,138
2025-07-15 22:43:53.196702,138
2025-07-15 22:43:54.225920,138
2025-07-15 22:43:54.228081,138
2025-07-15 22:43:55.257013,141
2025-07-15 22:43:55.259017,141
2025-07-15 22:43:56.287859,142
2025-07-15 22:43:56.289831,142
2025-07-15 22:43:57.319955,139
2025-07-15 22:43:57.321761,139
2025-07-15 22:43:58.350782,140
2025-07-15 22:43:58.353456,140
2025-07-15 22:43:59.381721,139
2025-07-15 22:43:59.383726,139
2025-07-15 22:44:00.413286,142
2025-07-15 22:44:00.415346,142
2025-07-15 22:44:01.444553,142
2025-07-15 22:44:01.446403,142
2025-07-15 22:44:02.475821,143
2025-07-15 22:44:02.477636,143
2025-07-15 22:44:03.507073,144
2025-07-15 22:44:03.508954,144
2025-07-15 22:44:04.538209,142
2025-07-15 22:44:04.540033,142
2025-07-15 22:44:05.569452,139
2025-07-15 22:44:05.571621,139
2025-07-15 22:44:06.600681,139
2025-07-15 22:44:06.602632,139
2025-07-15 22:44:07.631990,139
2025-07-15 22:44:07.633787,139
2025-07-15 22:44:08.663496,140
2025-07-15 22:44:08.665637,140
2025-07-15 22:44:09.695095,140
2025-07-15 22:44:09.696944,140
2025-07-15 22:44:10.726075,141
2025-07-15 22:44:10.728046,141
2025-07-15 22:44:11.759758,140
2025-07-15 22:44:11.761302,140
2025-07-15 22:44:12.788379,140
2025-07-15 22:44:12.790338,140
2025-07-15 22:44:13.819652,137
2025-07-15 22:44:13.821568,137
2025-07-15 22:44:14.851919,144
2025-07-15 22:44:14.853753,144
2025-07-15 22:44:15.882633,147
2025-07-15 22:44:15.884932,147
2025-07-15 22:44:16.991757,147
2025-07-15 22:44:16.993223,147
2025-07-15 22:44:17.982650,148
2025-07-15 22:44:17.984898,148
2025-07-15 22:44:19.013990,145
2025-07-15 22:44:19.016285,145
2025-07-15 22:44:20.045166,144
2025-07-15 22:44:20.047415,144
2025-07-15 22:44:21.076315,145
2025-07-15 22:44:21.078527,145
2025-07-15 22:44:22.107864,145
2025-07-15 22:44:22.109703,145
2025-07-15 22:44:23.139058,145
2025-07-15 22:44:23.141349,145
2025-07-15 22:44:24.170031,144
2025-07-15 22:44:24.171905,144
2025-07-15 22:44:25.201623,144
2025-07-15 22:44:25.203522,144
2025-07-15 22:44:26.232769,143
2025-07-15 22:44:26.234827,143
2025-07-15 22:44:27.264496,143
2025-07-15 22:44:27.266593,143
2025-07-15 22:44:28.295841,144
2025-07-15 22:44:28.297914,144
2025-07-15 22:44:29.326359,143
2025-07-15 22:44:29.328169,143
2025-07-15 22:44:30.357618,143
2025-07-15 22:44:30.360024,143
2025-07-15 22:44:31.388819,142
2025-07-15 22:44:31.390883,142
2025-07-15 22:44:32.420582,142
2025-07-15 22:44:32.422380,142
2025-07-15 22:44:33.451705,142
2025-07-15 22:44:33.453989,142
2025-07-15 22:44:34.483059,142
2025-07-15 22:44:34.485449,142
2025-07-15 22:44:35.514302,142
2025-07-15 22:44:35.516508,142
2025-07-15 22:44:36.545353,139
2025-07-15 22:44:36.547513,139
2025-07-15 22:44:37.576638,141
2025-07-15 22:44:37.579210,141
2025-07-15 22:44:38.607882,140
2025-07-15 22:44:38.609993,140
2025-07-15 22:44:39.639450,139
