time,x,y,z
2025-07-09 17:14:32.496508,-1.076,-0.036,-0.176
2025-07-09 17:14:32.497534,-1.076,-0.036,-0.176
2025-07-09 17:14:32.512560,-1.076,-0.024,-0.176
2025-07-09 17:14:32.513870,-1.076,-0.024,-0.176
2025-07-09 17:14:32.550057,-1.072,-0.028,-0.176
2025-07-09 17:14:32.551362,-1.072,-0.028,-0.176
2025-07-09 17:14:32.568791,-1.068,-0.024,-0.176
2025-07-09 17:14:32.570047,-1.068,-0.024,-0.176
2025-07-09 17:14:32.587543,-1.068,-0.028,-0.176
2025-07-09 17:14:32.588805,-1.068,-0.028,-0.176
2025-07-09 17:14:32.606303,-1.064,-0.036,-0.176
2025-07-09 17:14:32.607545,-1.064,-0.036,-0.176
2025-07-09 17:14:32.625033,-1.056,-0.048,-0.188
2025-07-09 17:14:32.626270,-1.056,-0.048,-0.188
2025-07-09 17:14:32.643789,-1.052,-0.056,-0.184
2025-07-09 17:14:32.645058,-1.052,-0.056,-0.184
2025-07-09 17:14:32.662701,-1.056,-0.072,-0.188
2025-07-09 17:14:32.663916,-1.056,-0.072,-0.188
2025-07-09 17:14:32.681354,-1.06,-0.08,-0.192
2025-07-09 17:14:32.682682,-1.06,-0.08,-0.192
2025-07-09 17:14:32.700087,-1.064,-0.072,-0.2
2025-07-09 17:14:32.701383,-1.064,-0.072,-0.2
2025-07-09 17:14:32.718862,-1.064,-0.08,-0.204
2025-07-09 17:14:32.720153,-1.064,-0.08,-0.204
2025-07-09 17:14:32.737582,-1.068,-0.076,-0.204
2025-07-09 17:14:32.738884,-1.068,-0.076,-0.204
2025-07-09 17:14:32.756335,-1.068,-0.076,-0.208
2025-07-09 17:14:32.757630,-1.068,-0.076,-0.208
2025-07-09 17:14:32.775544,-1.064,-0.076,-0.208
2025-07-09 17:14:32.776877,-1.064,-0.076,-0.208
2025-07-09 17:14:32.795192,-1.064,-0.076,-0.2
2025-07-09 17:14:32.796591,-1.064,-0.076,-0.2
2025-07-09 17:14:32.812670,-1.072,-0.076,-0.2
2025-07-09 17:14:32.813964,-1.072,-0.076,-0.2
2025-07-09 17:14:32.832092,-1.076,-0.08,-0.208
2025-07-09 17:14:32.833462,-1.076,-0.08,-0.208
2025-07-09 17:14:32.868879,-1.072,-0.088,-0.212
2025-07-09 17:14:32.870679,-1.072,-0.088,-0.212
2025-07-09 17:14:32.887611,-1.08,-0.084,-0.212
2025-07-09 17:14:32.888885,-1.08,-0.084,-0.212
2025-07-09 17:14:32.906325,-1.064,-0.084,-0.208
2025-07-09 17:14:32.907580,-1.064,-0.084,-0.208
2025-07-09 17:14:32.925055,-1.076,-0.084,-0.212
2025-07-09 17:14:32.926313,-1.076,-0.084,-0.212
2025-07-09 17:14:32.943834,-1.076,-0.084,-0.204
2025-07-09 17:14:32.945082,-1.076,-0.084,-0.204
2025-07-09 17:14:32.962552,-1.072,-0.08,-0.204
2025-07-09 17:14:32.963830,-1.072,-0.08,-0.204
2025-07-09 17:14:32.981308,-1.064,-0.08,-0.196
2025-07-09 17:14:32.982565,-1.064,-0.08,-0.196
2025-07-09 17:14:33.000077,-1.08,-0.076,-0.2
2025-07-09 17:14:33.001319,-1.08,-0.076,-0.2
2025-07-09 17:14:33.018805,-1.096,-0.068,-0.196
2025-07-09 17:14:33.020079,-1.096,-0.068,-0.196
2025-07-09 17:14:33.037543,-1.076,-0.068,-0.196
2025-07-09 17:14:33.038806,-1.076,-0.068,-0.196
2025-07-09 17:14:33.056341,-1.076,-0.064,-0.2
2025-07-09 17:14:33.057701,-1.076,-0.064,-0.2
2025-07-09 17:14:33.075085,-1.068,-0.08,-0.212
2025-07-09 17:14:33.076361,-1.068,-0.08,-0.212
2025-07-09 17:14:33.093809,-1.072,-0.08,-0.216
2025-07-09 17:14:33.095075,-1.072,-0.08,-0.216
2025-07-09 17:14:33.112576,-1.06,-0.092,-0.22
2025-07-09 17:14:33.113842,-1.06,-0.092,-0.22
2025-07-09 17:14:33.150054,-1.064,-0.084,-0.224
2025-07-09 17:14:33.151305,-1.064,-0.084,-0.224
2025-07-09 17:14:33.168817,-1.06,-0.092,-0.224
2025-07-09 17:14:33.170068,-1.06,-0.092,-0.224
2025-07-09 17:14:33.187573,-1.06,-0.088,-0.224
2025-07-09 17:14:33.188862,-1.06,-0.088,-0.224
2025-07-09 17:14:33.206334,-1.056,-0.1,-0.232
2025-07-09 17:14:33.207618,-1.056,-0.1,-0.232
2025-07-09 17:14:33.225090,-1.068,-0.092,-0.232
2025-07-09 17:14:33.226360,-1.068,-0.092,-0.232
2025-07-09 17:14:33.243831,-1.064,-0.096,-0.224
2025-07-09 17:14:33.245108,-1.064,-0.096,-0.224
2025-07-09 17:14:33.262571,-1.052,-0.1,-0.22
2025-07-09 17:14:33.263861,-1.052,-0.1,-0.22
